tweet_id	tweet_text	class_label
903388763073720321	Hurricane Harvey killed at least 38 people, but Charlie Hebdo mag says thats OK because they were neo-Nazis.	injured_or_dead_people
901136425348759552	Harvey upped to Category 2 hurricane with 110+ mph winds and flooding expected	other_relevant_information
902853707607535616	A huge shoutout @TexasGuard for all the work your #USArmy Soldiers are doing to help victims of #HurricaneHarvey #HelpForHouston	rescue_volunteering_or_donation_effort
902859729701044224	Our thoughts and prayers are with the people hit by hurricane Harvey. If you know of a fellow maker who is in	sympathy_and_support
901405975856414720	Homes destroyed on Broadway St in Rockport. People seen on street huddling &amp; hugging. #HurricaneHarvey #Texas	infrastructure_and_utility_damage
902879911622451200	@realDonaldTrump on top of the tremendous devastation &amp; flooding from Harvey; gutted EPA will not act on airborne petrochemical pollution !?	other_relevant_information
903386165683920896	UIL Statement Re: Displaced Student from Hurricane Harvey -  -- @steveat21 @vsa_texas @TXMileSplit @txrunning	displaced_people_and_evacuations
902639221021696001	Calling all chefs! Please join us in supporting the victims of #HurricaneHarvey. Donate the proceeds of one featured dish #Chefs4Houston RT!	rescue_volunteering_or_donation_effort
902670009217957889	In coastal areas both terrestrial flooding and surging ocean waters play a major role in the risk of regional flooding	other_relevant_information
901835403107467264	Thoughts and prayers during the unfolding disaster in Houston. Thankful for the calm of Mayor Turner &amp; all civil servants rushing to help.	sympathy_and_support
902850940478345216	GOP has already signaled theyll delay funding #Harvey aid until they can figure out offsets and cut safety net programs elsewhere	other_relevant_information
903615544712101889	Thats a lot of water 👇🏻	not_humanitarian
902862984543862784	Coast Guard rescuers repel down from a helicopter to save Houston residents amid #Harveys historic flooding.	rescue_volunteering_or_donation_effort
901572527897673729	Hurricane Harvey destroys homes and businesses along Texas coast	infrastructure_and_utility_damage
903629044570361856	Wetlands are essential for drinking-up water from floods. #Landsat imagery shows how little is left in #Houston	other_relevant_information
902858404707872768	Judge @EdEmmett says @NRGParkFan Center will open for evacuees #Harvey #HoustonFlooding.	displaced_people_and_evacuations
901804797573156865	Houston faces catastrophic flooding as tropical storm Harvey lingers with pouring rain  via @HuffPostGreen	other_relevant_information
