tweet_id	tweet_text	class_label
870161518553251840	RT @TakasSriLanka: #FloodSL Update: Rs. 1,002,500 donated online from 23 countries! Data:  #FloodReliefLKA /	rescue_volunteering_or_donation_effort
873498581344419840	RT @japan_lanka: During their stay, the Expert Team members visited landslide and flood affected areas in Eheliyagoda,Kalutara and Rathnapu	rescue_volunteering_or_donation_effort
873648602345861120	Sri Lanka public helping flood victims, One of the best civilian relief efforts in the world, Take my lunch	rescue_volunteering_or_donation_effort
877815909334822912	#UNICEF rep for #SriLanka @TimSuttonUNICEF in Kaluthara w/ #Norwegian Ambassador &amp; govt officials to discuss #relief for #FloodSL victims.	other_relevant_information
877838559696367616	RT @TimSuttonUNICEF: #unicef Sri Lanka and #norwayaid will help rebuild these and other communities affected by #FloodSL	rescue_volunteering_or_donation_effort
870252659537784833	Flood Donations #workplace # visit #srilanka #president @ District	rescue_volunteering_or_donation_effort
872671646749827073	Cornwall rescue team deployed to  has been published on -  - #NaturalDisasterRescueTeamFromCornwall #Shelterbox	rescue_volunteering_or_donation_effort
870265394237513728	RT @lbolbr: Sri Lanka flood levels begin to reduce, more rain expected #SriLanka #lka #lbo -	caution_and_advice
871346537930133504	Quick question - how can civil society (or ordinary folk like myself) follow up on GOSLs mechanism of foreign aid distribution? #lka	rescue_volunteering_or_donation_effort
870165306840428544	RT @JChapagain: Rohingya camps in Bangladesh destroyed by Cyclone Mora - suffering gets worse! @Federation	infrastructure_and_utility_damage
870488568673652736	De-contaminating wells is vital post-floods to curb the spread of disease and restore a supply of clean-drinking water #FloodSL	requests_or_urgent_needs
870515836947120129	RT @angloyankophile: So sad to hear about the flood in #SriLanka - a country that is close to my heart and one that we love to visit.	sympathy_and_support
870014188411916288	἞E἟9 FM @angealfa announced #Italy will provide 200,000 euros for people struck by the floods in #SriLanka	rescue_volunteering_or_donation_effort
873397891196440582	Bravo #Israel for being among the first countries to help #SriLanka as it recovers from devastating floods that occurred over the weekend	rescue_volunteering_or_donation_effort
871882191416041475	Bangladesh announces $500000 cash assistance for Sri Lanka flood victims  #news	rescue_volunteering_or_donation_effort
872725954770198528	The @UNSriLanka seeks $22.7 million in funding to help with #floodsl relief &amp; recovery till Oct 2017  #lka #srilanka	rescue_volunteering_or_donation_effort
870530541464023040	Pakistan Navy conducts relief operations in flood-battered Sri Lanka  #news	rescue_volunteering_or_donation_effort
873567623023394816	RT @sabeshwaran: Students in #Jaffna praying for the victims of #FloodSL in Ponnailai varatharajah perumal Temple on Friday #lka .	sympathy_and_support
881384379469234176	RT @Vidiyallk: Government seeks #world aid for #FloodRelief; 4 ministers appointed to work out plans for donor conference in #Colombo short	rescue_volunteering_or_donation_effort
870528515803709440	Rs 1 million worth flood relief of essential items donated by #Mannar residents were handed over to flood affected people in #Galle #FloodSL	rescue_volunteering_or_donation_effort
870359598640660480	In #Gampaha our volunteers conducted a #firstaid camp for flood affected in Dompe &amp; Biyagama, supported by @CocaColaLK. #LKA #FloodSL	rescue_volunteering_or_donation_effort
873692777292419072	RT @ItsYakin: MPs in the JO have decided to contribute their June salary to assist post #FloodSL relief activities except few due to bank l	rescue_volunteering_or_donation_effort
875525110421172224	RT @lankawire: UN appeals for more resources for flood-hit Sri Lanka	rescue_volunteering_or_donation_effort
870867758866616320	Situation report 03 june 2017 @9.00am #211deaths #72injured #91missing #slfloods #SLFloods2017 #FloodSL #flooding #SriLanka #SriLankaFloods	injured_or_dead_people
871361624904409089	This #FloodSL aid adds to the approx LKR19 billion from @theOFDA &amp; the American people to #SriLanka since 2001. Read	rescue_volunteering_or_donation_effort
879639683424243712	Latest snapshot features update on #Marawi conflict #Philippines, #China, #Bangladesh #SriLanka #landslides #floods-	not_humanitarian
870500242558296064	RT @purefitblog: RT WHOSEARO: Responding to health needs of the 600 000+ people affected by the floods in #SriLanka is critical in the curr	rescue_volunteering_or_donation_effort
870245570039996416	RT @BreakDengue: At least 177 people have died in #SriLanka floods — and the survivors are at risk of #dengue fever	injured_or_dead_people
874162932837306368	ADB grants USD$ 2m as recent disaster relief aid #lka #srilanka #flood @ADB_HQ	rescue_volunteering_or_donation_effort
873383772124831744	Situation at 0900hours #10thJune2017 #SLFloods2017 #FloodSL #ContactUs on 117 on how to help or to donate #SriLanka #dmc_lk #MeteoLK	rescue_volunteering_or_donation_effort
870445588323500032	Lets Help Flood Affected School Children ! Donate Books, Stationery &amp; Shoes Call 0778386023 #LKA #SriLanak #FloodSL #FloodReliefLKA	rescue_volunteering_or_donation_effort
872145134921502720	People impacted by #SriLankaFloods receive hygiene supplies &amp; cooking kits from our Regional Advisor Joe &amp; partner @sarvodayalanka. #FloodSL	rescue_volunteering_or_donation_effort
872061058369953792	In #SriLanka, #Louisiana, #Peru, wherever - #floods turn the familiar into something barely recognizable &amp; deadly.	other_relevant_information
870111913832833024	Cyclone #Mora : #Indian Naval Ship (INS) Sumitra has rescued 10 #Bangladesh nationals &amp; will dock in Chittagong shortly with relief supplies	rescue_volunteering_or_donation_effort
870153442664210432	Chinese enterprises donate relief supplies to Sri Lanka flood victims  #srilanka #news #lka	rescue_volunteering_or_donation_effort
870981888386650112	RT @Sthumoe: Authorities and #NGOs were not present in the camp and refugees had to repair the damage themselves.  #	not_humanitarian
870160022482845696	RT @munza14: Urgent: Voice Foundation urgently need sugar for #FloodSL victims. Call Akash 0772512374 to contribute. #LKA #SriLanka #Flood	rescue_volunteering_or_donation_effort
870500162879102976	Responding to health needs of the 600 000+ people affected by the floods in #SriLanka is critical in the current disaster situation #FloodSL	requests_or_urgent_needs
869971260557582336	#PrayForSriLanka ἟1἟0! One of the Worst Flood ! 2017- 202 Deaths, 96 missing, 2016- 101 D, 109 missing 2003- 260 D #FloodSL #SriLanka #LKA	sympathy_and_support
870923274326290432	RT @SriLankaTweet: Israel Amb @danielocarmon delivers Israeli aid on behalf of the Israeli people following #SriLanka #FloodSL #LKA	rescue_volunteering_or_donation_effort
870714074044272641	Update: 206 Deaths 92 Missing 68 Injured 11,000 houses damaged 658,000 affected Due to landslides and flood in Sri Lanka. #PrayForSriLanka	injured_or_dead_people
871272107627425793	Government Donations #FloodSL #lka	rescue_volunteering_or_donation_effort
871932402511360000	.@ArmyROTC cadets &amp; @PacificCommand Augmentation Team disaster relief experts assist #FloodSL with @SLRedCross teams.	rescue_volunteering_or_donation_effort
869970009493196800	#SriLankan Government reconstruct the houses destroyed and damaged by the devastating floods and landslides in the countr #FloodSL	infrastructure_and_utility_damage
871683608284717056	RT @fonthillcharity: Devastated for our Charity Partner in Sri Lanka - Extra Cover. Schools severely damaged in the recent flooding. ὢ2 #su	infrastructure_and_utility_damage
872683944835256325	Proud of the big hearts &amp; hard work of students at our #Access Center English-language classes to help #FloodSL victims in Galle District	rescue_volunteering_or_donation_effort
870224110848102400	Donate now to help families recover:  #SriLanka #FloodSL #recovery	rescue_volunteering_or_donation_effort
872573329277898752	.@PScotlandCSG passed on condolences &amp; sympathies to PM @RW_UNP for those effected by recent flooding in #SriLanka at the #SaveOurOcean conf	sympathy_and_support
871726064531161089	Cornwall rescue team deployed to help Sri Lanka flood victims	rescue_volunteering_or_donation_effort
873672780008521728	RT @ItsYakin: Some countries have issued travel advisories on Sri Lanka following the severe flooding which affected the country #Tourism #	other_relevant_information
876965972736966656	RT @SurfaceWarriors: #USSLakeErie completes humanitarian relief mission in #SriLanka. #FloodSl #AroundTheFleet  htt	rescue_volunteering_or_donation_effort
871218302319775744	RT @350: Our thoughts are with the millions facing utter hardship in Sri Lanka after Cyclone Mora &amp; in Bangladesh who now face it’s fury. S	sympathy_and_support
875611009737662464	Support our deployment to #SriLanka to assist communities affected by flooding - thanks to those who have donated!  ὄD	rescue_volunteering_or_donation_effort
873906773777895428	Canada provides additional $200,000 in support of #SriLanka floods to @UNmigration, which brings Canada’s total response to $594,000 ἞8἞6 ἟1἟0	rescue_volunteering_or_donation_effort
870174841051262976	Thoughts. Sri Lanka is our second home. May the people and the country remain safe &amp; prosperous. @aanaseer @niumanaseer @Fareesha3	sympathy_and_support
873386361189007364	total damage caused by the recent floods and landslides owing to Cyclone Mora was around 8 billion rupees	infrastructure_and_utility_damage
870585981694394369	All schools except flood affected to re-open on Monday  via @colombogazette #srilanka #lka	other_relevant_information
